titulo,descripcion,creador,estado,fecha_creacion,preguntas,tipos
Satisfacción Laboral 2024,Evaluación completa del ambiente laboral,admin,publicada,2024-01-15,¿Qué tan satisfecho está con su trabajo actual?|¿Cómo califica el ambiente laboral?|¿Considera que tiene oportunidades de crecimiento?|¿Qué tan efectiva es la comunicación con su supervisor?|¿Recibe retroalimentación útil sobre su desempeño?,satisfaccion|escala_5|probabilidad|calidad|utilidad
Evaluación de Producto XYZ,Análisis detallado del nuevo producto,marketing,activa,2024-01-20,¿Cómo califica la calidad del producto?|¿Qué tan fácil fue usar el producto?|¿Recomendaría este producto?|¿Con qué frecuencia usa el producto?|¿Considera que el precio es adecuado?,escala_10|dificultad|probabilidad|frecuencia|multiple
Clima Organizacional Q1,Diagnóstico del ambiente empresarial,rrhh,cerrada,2024-01-10,¿La comunicación interna es efectiva?|¿El liderazgo es transparente?|¿Se siente valorado en su trabajo?|¿Tiene los recursos necesarios?|¿El trabajo en equipo es efectivo?,multiple|calidad|satisfaccion|si_no|escala_5
Capacitación Técnica,Evaluación del programa de formación,desarrollo,borrador,2024-02-01,¿Qué tan útil fue la capacitación?|¿El instructor fue claro?|¿El material fue adecuado?|¿La duración fue apropiada?|¿Aplicará lo aprendido?,utilidad|calidad|multiple|tiempo|probabilidad
Servicio al Cliente,Medición de satisfacción del cliente,atencion,publicada,2024-02-05,¿El tiempo de respuesta fue adecuado?|¿El personal fue amable?|¿Su problema fue resuelto?|¿Usaría nuestro servicio nuevamente?|¿Recomendaría nuestro servicio?,tiempo|satisfaccion|si_no|probabilidad|multiple
Evaluación de Procesos,Análisis de eficiencia operativa,operaciones,activa,2024-02-10,¿Los procesos son claros?|¿Hay cuellos de botella?|¿Las herramientas son adecuadas?|¿La documentación es útil?|¿Se cumplen los tiempos?,multiple|si_no|calidad|utilidad|tiempo
Satisfacción del Empleado,Encuesta anual de satisfacción,rrhh,publicada,2024-02-15,¿Se siente motivado en su trabajo?|¿El balance vida-trabajo es adecuado?|¿Los beneficios son competitivos?|¿Hay buen ambiente laboral?|¿La carga de trabajo es apropiada?,satisfaccion|multiple|escala_5|calidad|dificultad
Evaluación de Software,Feedback sobre nueva plataforma,tecnologia,activa,2024-02-20,¿La interfaz es intuitiva?|¿Encontró errores?|¿La velocidad es adecuada?|¿Las funciones son útiles?|¿Necesitó ayuda técnica?,dificultad|si_no|escala_10|utilidad|frecuencia
Desarrollo de Carrera,Evaluación de planes de desarrollo,desarrollo,borrador,2024-02-25,¿Conoce su plan de carrera?|¿Recibe mentoría efectiva?|¿Hay oportunidades de crecimiento?|¿La capacitación es relevante?|¿Se siente apoyado en su desarrollo?,si_no|calidad|probabilidad|utilidad|satisfaccion
Infraestructura TI,Evaluación de recursos tecnológicos,sistemas,publicada,2024-03-01,¿Los equipos son adecuados?|¿El soporte técnico es eficiente?|¿Las herramientas son útiles?|¿La red es estable?|¿Los sistemas son seguros?,calidad|tiempo|utilidad|frecuencia|multiple
Retroalimentación General,Evaluación detallada de servicios,admin,publicada,2024-01-15,¿Qué aspectos mejoraría de nuestro servicio?|¿Cuáles son sus principales necesidades?|¿Qué sugerencias tiene para mejorar?|¿Qué opina sobre nuestro servicio al cliente?|¿Cómo podríamos mejorar su experiencia?,abierta|abierta|abierta|abierta|abierta
Evaluación de Capacitación,Análisis del programa formativo,rrhh,activa,2024-02-01,¿Qué temas le gustaría que se incluyeran en futuras capacitaciones?|¿Cuál fue el aspecto más útil de la capacitación?|Describa cómo aplicará lo aprendido|¿Qué aspectos de la capacitación cambiaría?|¿Qué otros comentarios tiene sobre el instructor?,abierta|abierta|abierta|abierta|abierta
Mejora Continua,Sugerencias y opiniones,desarrollo,publicada,2024-02-15,¿Qué procesos considera que necesitan mejora?|Describa su rol actual y responsabilidades|¿Qué herramientas adicionales necesita?|¿Qué obstáculos encuentra en su trabajo diario?|¿Qué sugerencias tiene para mejorar la eficiencia?,abierta|abierta|abierta|abierta|abierta
Clima Laboral,Análisis del ambiente de trabajo,rrhh,activa,2024-03-01,¿Qué aspectos del ambiente laboral mejoraría?|¿Qué iniciativas sugiere para mejorar la comunicación?|Describa los desafíos en su posición actual|¿Qué cambios haría en la cultura organizacional?|¿Qué sugerencias tiene para mejorar el trabajo en equipo?,abierta|abierta|abierta|abierta|abierta
Desarrollo Profesional,Evaluación de crecimiento,desarrollo,borrador,2024-03-05,¿Cuáles son sus objetivos profesionales a corto plazo?|¿Qué habilidades le gustaría desarrollar?|¿Qué apoyo necesita para alcanzar sus metas?|¿Qué oportunidades de crecimiento identifica?|¿Qué tipo de mentoring le gustaría recibir?,abierta|abierta|abierta|abierta|abierta
